codigo1,codigo2,similar
"print('Hola mundo')","print('Hola mundo')",1
"def suma(a,b): return a+b","def suma(x,y): return x+y",1
"for i in range(5): print(i)","for j in range(5): print(j)",1
"if x > y: print('Mayor')","if x < y: print('Menor')",0
"while True: pass","for i in range(10): print(i)",0
"def resta(a,b): return a-b","def resta(x,y): return x-y",1
"def multiplicar(a,b): return a*b","def mult(x,y): return x*y",1
"print('Adios')","print('Hasta luego')",0
"for elemento in lista: print(elemento)","for item in lista: print(item)",1
"while x < 5: x+=1","while x > 5: x-=1",0
"if nombre == 'Juan': print('Hola Juan')","if nombre == 'Juan': print('Hola Juan')",1
"def dividir(a,b): return a/b","def div(x,y): return x/y",1
"print('Bienvenido')","print('Hola mundo')",0
"for num in range(3): print(num)","for numero in range(3): print(numero)",1
"while flag: do_something()","for item in data: process(item)",0
"if edad >= 18: print('Adulto')","if edad < 18: print('Menor')",0
"def cuadrado(n): return n*n","def cuadrado(m): return m*m",1
"print('Despedida')","print('Chau')",0
"def suma(a,b,c): return a+b+c","def suma(a,b,c): return a+b+c",1
"for i in range(10): print(i**2)","for i in range(10): print(i**2)",1
"if temperatura > 30: print('Calor')","if temperatura < 10: print('Frio')",0
"while contador < 100: contador+=10","while contador > 0: contador-=10",0
"def raiz_cuadrada(x): return x**0.5","def raiz(x): return x**0.5",1
"print('Error')","print('Correcto')",0
"for palabra in palabras: print(palabra.upper())","for palabra in palabras: print(palabra.upper())",1
"while not done: continue","while done: break",0
"if valor in lista: print('Encontrado')","if valor not in lista: print('No encontrado')",0
"def potencia(base,exponente): return base**exponente","def power(base,exp): return base**exp",1
"print('Conectado')","print('Desconectado')",0
"for k in range(5): print(k+1)","for n in range(5): print(n+1)",1
